questionText,optionA,optionB,optionC,optionD,correctKey
Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Saturn,B
Which animal is known as man's best friend?,Dog,Cat,Bird,Fish,A
Which number is even?,3,5,8,9,C
Which shape has three sides?,Square,Triangle,Rectangle,Circle,B
Which instrument is used to measure temperature?,Thermometer,Ruler,Scale,Clock,A
Which planet is closest to the Sun?,Venus,Mercury,Mars,Jupiter,B
Which animal can fly?,Dog,Cat,Eagle,Lion,C
Which month has 28 days in a common year?,February,March,April,May,A
What do cows drink?,Milk,Water,Juice,Soda,B
Which one is a fruit?,Carrot,Potato,Apple,Cabbage,C
Which language is mainly spoken in France?,German,Spanish,French,Italian,C
Which color is made by mixing blue and yellow?,Green,Red,Purple,Orange,A
Which device is used to call someone?,Computer,Phone,Television,Radio,B
Which one is a mammal?,Shark,Dolphin,Salmon,Trout,B
Which continent is China in?,Europe,Asia,Africa,South America,B
Which is the largest number?,10,50,100,5,C
Which is a prime number?,4,6,7,9,C
Which of these is a web browser?,Windows,Chrome,Word,Excel,B
Which one is used to write code in Java?,Photoshop,IntelliJ IDEA,PowerPoint,Paint,B
Which key is usually used to confirm an action?,Escape,Enter,Tab,Shift,B
